package_name,aaid,aid,geo,router_ssid,wifi_mac,router_mac,imei,hwid,phone,email,real_name,package_dump,simid,gsfid
air.au.com.metro.DumbWaysToDie2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
air.com.sgn.cookiejam.gp,1,1,0,0,0,0,0,0,0,0,0,0,0,0
air.ru.mail.games.pokerarena,1,1,1,1,0,1,0,0,0,0,0,0,0,0
at.nerbrothers.SuperJump,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bubble.shooter.shooting.shoot.game,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bubbleshooter.orig,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cn.jingling.motu.photowonder,1,1,0,1,1,0,1,0,0,0,0,0,0,0
cn.xender,0,1,0,0,0,0,0,0,0,0,0,0,0,0
co.triller.droid,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.GabrielLimberger.StickmanParkourPlatform,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.HBO,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.HighbrowInteractive.IndianTrainSim,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.IMStudio.PocketRallyLite,0,0,0,0,1,0,0,0,0,0,0,0,0,0
com.KnowledgeAdventure.SchoolOfDragons,1,1,0,0,0,0,0,0,0,0,0,1,0,0
com.Laxarus.TigerBall,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.MobileSportsTime.MiniGolfEldoradoGolfCourse,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.NextFloor.DragonFlightKakao,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.Project100Pi.themusicplayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.PupInteractive.TwistyRoad,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.Seriously.BestFiends,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.TwoDesperados.WokaWoka,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.UCMobile.intl,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ViperGames.StickmanDismount,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.ViperGames.StickmanWarriors,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.WaterfallLiveWallpaper,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.aa.generaladaptiveapps,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.accuweather.android,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.aceviral.angrygranrun,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.adobe.psmobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.adobe.reader,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.aim.racing,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.aim.racing.sf,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.aim.racingisland,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.aim.racingjpn,1,1,0,0,0,0,0,0,0,0,0,0,0,0
